Ranking,Fund Short Name,Investment Strategy,Dummy,Fund Company,Dummy,Recent Month Return,Dummy,Lastest NAV,Cumulative Return,Dummy,Dummy,Dummy,Annalized Return,Sharpe Ratio,Year Rating
21092,高毅晓峰1号睿远4号基金,股票策略,查看,高毅资产,查看,11.82%,查看,1.1015,10.15%,查看,查看,查看,,,
21093,民森·诺亚2号,股票策略,查看,民森投资,查看,-24.50%,查看,0.5714,-42.86%,查看,查看,查看,,,
21094,久久益收益互换3号基金,股票策略,查看,久久益资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21095,精英之弘尚资产基金,股票策略,查看,弘尚资产,查看,19.32%,查看,1.1932,19.32%,查看,查看,查看,,,
21096,小熊猫量化2号,股票策略,查看,七禾新财富,查看,9.41%,查看,1.1682,16.82%,查看,查看,查看,,,
21097,申万匹克期权对冲智富七号,多策略,查看,申银万国期货,查看,4.04%,查看,1.0628,6.28%,查看,查看,查看,,,
21098,璞兴2号,股票策略,查看,璞盈投资,查看,-4.86%,查看,0.9010,-9.90%,查看,查看,查看,,,
21099,中国纳斯达克新三板3期,定向增发,查看,德骏资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21100,北斗系列天枢泰信6号,股票策略,查看,泰诚资本,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21101,域秀智享3号基金-B期,股票策略,查看,域秀资本,查看,-1.35%,查看,0.8681,-13.19%,查看,查看,查看,,,
21102,湖丰汇吉共赢一号,其他,查看,汇吉投资,查看,-2.66%,查看,0.9532,-4.68%,查看,查看,查看,,,
21103,执盈二号,股票策略,查看,执盈创信,查看,-12.69%,查看,0.8609,-13.91%,查看,查看,查看,,,
21104,重阳灵活策略对冲子4号,对冲策略,查看,重阳投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21105,植瑞-长青16号,组合策略,查看,植瑞投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21106,橙叶伍号,股票策略,查看,橙叶投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21107,景闰股期双盈2号,其他,查看,景闰投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21108,祥熙乾元稳健,管理期货,查看,祥熙投资,查看,-27.78%,查看,1.2683,26.83%,查看,查看,查看,,,
21109,华兴淳信路飞1号,债券策略,查看,淳信资本,查看,12.40%,查看,1.0767,12.24%,查看,查看,查看,,,
21110,金犇蓝海1号,股票策略,查看,金犇投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21111,盈阳安禅涌鑫二号,股票策略,查看,安禅资产,查看,6.41%,查看,1.0630,6.30%,查看,查看,查看,,,
21112,中投骏和实盈量化2号,股票策略,查看,中投骏和,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21113,中证金葵花畅游产业,其他,查看,中证金葵花,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21114,云联智融量化专户,套利策略,查看,云联智融,查看,0.00%,查看,0.9990,-0.10%,查看,查看,查看,,,
21115,美红一号,股票策略,查看,富灵投资,查看,2.97%,查看,0.9638,-3.62%,查看,查看,查看,,,
21116,扬子创投新三板三号,新三板,查看,扬子创投,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21117,鑫星28号,股票策略,查看,鸿融六屏,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21118,逸信富利2号,管理期货,查看,逸信基金,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21119,通和进取五期1号,多策略,查看,通和投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21120,茂森融信汇能1号,股票策略,查看,茂森资本,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21121,平安磐海稳靖1号,股票策略,查看,平安磐海资本,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21122,中泰华信盈诚专项,股票策略,查看,中泰华信,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21123,盛世鲲鹏1号,股票策略,查看,鼎锋盛世投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21124,赛宝三号,股票策略,查看,赛宝投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21125,益昶长江入海九号,多策略,查看,益昶资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21126,高维子策略D2,多策略,查看,高维资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21127,海石季度丰-五牛尊戎,股票策略,查看,五牛股权,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21128,久铭一期,股票策略,查看,久铭,查看,-19.77%,查看,1.0731,48.11%,查看,查看,查看,,,
21129,京笙资产2号,管理期货,查看,京笙投资,查看,--,查看,1.5247,52.47%,查看,查看,查看,,,
21130,兴业资管·兴贵1号,股票策略,查看,兴业国信资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21131,弘达资本季季鑫之海南国租,其他,查看,弘达资本,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21132,陕西金控金融不良资产3号,其他,查看,陕西金控,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21133,天鑫金穗3号,股票策略,查看,天鑫财富,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21134,东方远见5期,股票策略,查看,东方远见,查看,11.00%,查看,1.1562,15.62%,查看,查看,查看,,,
21135,财通聚富2号A39,债券策略,查看,财通证券资管,查看,0.00%,查看,1.0000,2.14%,查看,查看,查看,,,
