Ranking,Fund Short Name,Investment Strategy,Dummy,Fund Company,Dummy,Recent Month Return,Dummy,Lastest NAV,Cumulative Return,Dummy,Dummy,Dummy,Annalized Return,Sharpe Ratio,Year Rating
43640,久银仁远久富7号,股票策略,查看,久银股权投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43641,骐骏睿进1号,股票策略,查看,骐骏投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43642,利得资本信托受益权,股票策略,查看,利得资本,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43643,景沣-美中嘉和定增A类,定向增发,查看,景沣基金,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43644,锦利润和定增,定向增发,查看,锦利投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43645,茉莉1号,股票策略,查看,勤远投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43646,和熙15号成长型基金,股票策略,查看,和熙投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43647,合一悦赢一号,股票策略,查看,合一悦凡,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43648,歌斐京沪写字楼四号,其他,查看,歌斐资产上海,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43649,创世捷信成长4号,股票策略,查看,歌斐资产上海,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43650,霓凰私募,股票策略,查看,阿杏投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43651,兴业资管-福建政和,股票策略,查看,兴业国信资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43652,融汇东方聚鑫12号,股票策略,查看,融汇东方投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43653,财富嘉凯歌7号,股票策略,查看,财富嘉,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43654,耀石泽惠多策略,多策略,查看,耀石资本,查看,2.26%,查看,1.0212,2.12%,查看,查看,查看,,,
43655,五矿经易新动力8号,多策略,查看,五矿期货,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43656,银河金汇东方港湾1号,股票策略,查看,东方港湾投资,查看,32.47%,查看,1.3337,33.37%,查看,查看,查看,,,
43657,永昇定增专项1号,定向增发,查看,鑫永昇投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43658,汇方华鑫1号,股票策略,查看,汇方投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43659,华润信托-润之信60期,股票策略,查看,九鼎华信,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43660,平安阖鼎对冲精英之黑翼B,股票策略,查看,平安阖鼎投资,查看,--,查看,0.9982,-0.18%,查看,查看,查看,,,
